category,api_name,filename,file_size_mb,row_count,column_count,missing_rate,duplicate_rate,key_columns,data_types
financial,fdmtcfbankalllatestget,year_2020.csv,0.09214401245117188,160,62,22.338709677419356,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 48, 'object': 10, 'int64': 4}"
financial,fdmtcfbankalllatestget,year_2008.csv,0.030653953552246094,56,62,26.92972350230415,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 48, 'object': 10, 'int64': 4}"
financial,fdmtcfbankalllatestget,year_2009.csv,0.0309906005859375,56,62,26.09447004608295,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 48, 'object': 10, 'int64': 4}"
financial,fdmtcfindualllatestget,year_2023.csv,9.940125465393066,1000,68,34.95441176470588,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfindualllatestget,year_2022.csv,9.366194725036621,1000,68,34.82205882352941,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfindualllatestget,year_2020.csv,7.5249223709106445,1000,68,36.08382352941176,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfindualllatestget,year_2008.csv,2.6590805053710938,1000,68,40.550000000000004,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfindualllatestget,year_2009.csv,2.794938087463379,1000,68,40.60735294117647,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfalllatestget,year_2023.csv,10.148608207702637,1000,68,34.919117647058826,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfalllatestget,year_2022.csv,9.572651863098145,1000,68,34.78382352941177,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfalllatestget,year_2020.csv,7.710497856140137,1000,68,36.064705882352946,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfalllatestget,year_2008.csv,2.705563545227051,1000,68,40.575,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtcfalllatestget,year_2009.csv,2.8476390838623047,1000,68,40.64411764705883,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 54, 'object': 10, 'int64': 4}"
financial,fdmtderget,year_2023.csv,6.76805305480957,1000,29,4.9655172413793105,0.0,"secID, partyID, secShortName, endDate","{'float64': 23, 'object': 4, 'int64': 2}"
financial,fdmtderget,year_2022.csv,6.350347518920898,1000,29,4.951724137931034,0.0,"secID, partyID, secShortName, endDate","{'float64': 23, 'object': 4, 'int64': 2}"
financial,fdmtderget,year_2020.csv,5.122586250305176,1000,29,5.0,0.0,"secID, partyID, secShortName, endDate","{'float64': 23, 'object': 4, 'int64': 2}"
financial,fdmtderget,year_2008.csv,1.8245477676391602,1000,29,6.727586206896552,0.0,"secID, partyID, secShortName, endDate","{'float64': 23, 'object': 4, 'int64': 2}"
financial,fdmtderget,year_2009.csv,1.9516849517822266,1000,29,4.906896551724138,0.0,"secID, partyID, secShortName, endDate","{'float64': 23, 'object': 4, 'int64': 2}"
financial,fdmtisalllatestget,year_2023.csv,8.815045356750488,1000,56,26.673214285714288,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 42, 'object': 10, 'int64': 4}"
financial,fdmtisalllatestget,year_2022.csv,8.343402862548828,1000,56,26.880357142857143,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 42, 'object': 10, 'int64': 4}"
financial,fdmtisalllatestget,year_2020.csv,8.309348106384277,1000,56,27.576785714285712,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 42, 'object': 10, 'int64': 4}"
financial,fdmtisalllatestget,year_2008.csv,2.746793746948242,1000,56,34.589285714285715,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 42, 'object': 10, 'int64': 4}"
financial,fdmtisalllatestget,year_2009.csv,3.0351123809814453,1000,56,32.22857142857143,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 42, 'object': 10, 'int64': 4}"
financial,fdmtindigrowthget,year_2023.csv,3.7074670791625977,1000,22,0.12272727272727273,0.0,"secID, partyID, secShortName, endDate","{'float64': 16, 'object': 4, 'int64': 2}"
financial,fdmtindigrowthget,year_2022.csv,3.4766006469726562,1000,22,0.09545454545454546,0.0,"secID, partyID, secShortName, endDate","{'float64': 16, 'object': 4, 'int64': 2}"
financial,fdmtindigrowthget,year_2020.csv,2.815317153930664,1000,22,0.11363636363636363,0.0,"secID, partyID, secShortName, endDate","{'float64': 16, 'object': 4, 'int64': 2}"
financial,fdmtindigrowthget,year_2008.csv,1.0519838333129883,1000,22,0.9227272727272728,0.0,"secID, partyID, secShortName, endDate","{'float64': 16, 'object': 4, 'int64': 2}"
financial,fdmtindigrowthget,year_2009.csv,1.1069087982177734,1000,22,0.6863636363636363,0.0,"secID, partyID, secShortName, endDate","{'float64': 16, 'object': 4, 'int64': 2}"
financial,fdmtbsalllatestget,year_2002.backup.csv,2.380282402038574,1000,103,54.195145631067966,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 88, 'object': 11, 'int64': 4}"
financial,fdmtbsalllatestget,year_2023.csv,14.071354866027832,1000,103,42.43009708737864,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 88, 'object': 11, 'int64': 4}"
financial,fdmtbsalllatestget,year_2005.backup.csv,2.87078857421875,1000,103,51.811650485436886,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 88, 'object': 11, 'int64': 4}"
financial,fdmtbsalllatestget,year_2022.csv,13.109090805053711,1000,103,42.685436893203885,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 88, 'object': 11, 'int64': 4}"
financial,fdmtbsalllatestget,year_2020.csv,10.520520210266113,1000,103,44.38543689320388,0.0,"secID, publishDate, endDate, endDateRep, partyID, secShortName","{'float64': 88, 'object': 11, 'int64': 4}"
special_trading,mktconsbondpremiumget,year_2021.backup.csv,463.0876808166504,1000,12,0.0,0.0,"SecID, secShortNameBond, tradeDate, closePriceBond, secShortNameEqu, closePriceEqu, convPrice","{'object': 5, 'float64': 4, 'int64': 3}"
special_trading,mktconsbondpremiumget,year_2024.backup.csv,557.2864646911621,1000,12,0.0,0.0,"SecID, secShortNameBond, tradeDate, closePriceBond, secShortNameEqu, closePriceEqu, convPrice","{'object': 5, 'float64': 4, 'int64': 3}"
special_trading,mktconsbondpremiumget,year_2019.backup.csv,224.64831066131592,1000,12,0.0,0.0,"SecID, secShortNameBond, tradeDate, closePriceBond, secShortNameEqu, closePriceEqu, convPrice","{'object': 5, 'float64': 4, 'int64': 3}"
special_trading,mktconsbondpremiumget,year_2023.csv,10.139278411865234,1000,12,0.0,0.0,"SecID, secShortNameBond, tradeDate, closePriceBond, secShortNameEqu, closePriceEqu, convPrice","{'object': 5, 'float64': 4, 'int64': 3}"
special_trading,mktconsbondpremiumget,year_2022.csv,10.111733436584473,1000,12,0.0,0.0,"SecID, secShortNameBond, tradeDate, closePriceBond, secShortNameEqu, closePriceEqu, convPrice","{'object': 5, 'float64': 4, 'int64': 3}"
special_trading,mktrankinstr,20140930.csv,0.008152008056640625,84,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice, industryID, industryName","{'object': 6, 'int64': 3, 'float64': 2}"
special_trading,mktrankinstr,20090331.csv,0.008138656616210938,84,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice, industryID, industryName","{'object': 6, 'int64': 3, 'float64': 2}"
special_trading,mktrankinstr,20141231.csv,0.008182525634765625,84,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice, industryID, industryName","{'object': 6, 'int64': 3, 'float64': 2}"
special_trading,mktrankinstr,20220930.csv,0.008168220520019531,84,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice, industryID, industryName","{'object': 6, 'int64': 3, 'float64': 2}"
special_trading,mktrankinstr,20100331.csv,0.008203506469726562,84,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice, industryID, industryName","{'object': 6, 'int64': 3, 'float64': 2}"
special_trading,mktrankdivyieldget,year_2023.csv,85.86797618865967,1000,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice","{'object': 5, 'float64': 4, 'int64': 2}"
special_trading,mktrankdivyieldget,year_2022.csv,80.72598934173584,1000,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice","{'object': 5, 'float64': 4, 'int64': 2}"
special_trading,mktrankdivyieldget,year_2020.csv,65.19025707244873,1000,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice","{'object': 5, 'float64': 4, 'int64': 2}"
special_trading,mktrankdivyieldget,year_2008.csv,18.051647186279297,1000,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice","{'object': 5, 'float64': 4, 'int64': 2}"
special_trading,mktrankdivyieldget,year_2009.csv,19.28181552886963,1000,11,0.0,0.0,"secID, secShortName, tradeDate, closePrice","{'object': 5, 'float64': 4, 'int64': 2}"
special_trading,fsttotalget,year_2023.csv,3.193143844604492,1000,10,0.0,29.799999999999997,tradeDate,"{'int64': 6, 'object': 3, 'float64': 1}"
special_trading,fsttotalget,year_2022.csv,2.3035545349121094,1000,10,0.0,51.6,tradeDate,"{'int64': 6, 'object': 3, 'float64': 1}"
special_trading,fsttotalget,year_2020.csv,1.8417282104492188,1000,10,0.0,51.4,tradeDate,"{'int64': 6, 'object': 3, 'float64': 1}"
special_trading,fsttotalget,year_2021.csv,2.0847434997558594,1000,10,0.0,51.4,tradeDate,"{'int64': 6, 'object': 3, 'float64': 1}"
special_trading,fsttotalget,year_2019.csv,1.6495294570922852,1000,10,0.0,51.2,tradeDate,"{'int64': 6, 'object': 3, 'float64': 1}"
